"","gene","logFC","p"
"1602","Rv0399c",0.546342110621048,0.000341843813982932
"1119","Rv0400c",0.514241395811126,3.87033246649438e-05
"2488","Rv0401",0.448616211135825,0.0127958382482047
"813","Rv0402c",-1.22171572258649,1.03452077279559e-05
"1709","Rv0403c",-0.944537816575989,0.000495326093044538
"1480","Rv0404",-0.820468116418148,0.000190127310203485
"1323","Rv0406c",0.733690815947804,9.92876162683623e-05
"1259","Rv0408",-0.551222342653032,7.22788592205142e-05
"297","Rv0410c",-1.04410953875735,4.19315431132908e-07
"1012","Rv0411c",-0.711782361929856,2.37106881480014e-05
"1277","Rv0412c",-0.695363938499895,7.86280350085689e-05
"2249","Rv0414c",-0.54274422460301,0.00464679417219514
"2424","Rv0415",0.314463525366423,0.0101208294812665
"415","Rv0418",-1.05998955699407,8.9073723276503e-07
"868","Rv0420c",-1.69411108162551,1.34770151744301e-05
"734","Rv0421c",-1.03474443201374,6.77613543280557e-06
"1086","Rv0422c",-0.767146373531503,3.2510516362601e-05
"2156","Rv0424c",0.351897395623624,0.00337572283481496
"1515","Rv0425c",-0.363982995096666,0.000224467198477575
"754","Rv0426c",0.763920298542521,7.44873164740834e-06
"2675","Rv0427c",-0.237047351017718,0.0267772402058282
"888","Rv0428c",-1.33629493569918,1.49070997192497e-05
"476","Rv0429c",-1.38259770345688,1.3663222729033e-06
"831","Rv0430",-0.878442212555266,1.12954396043525e-05
"516","Rv0431",-0.956096475727627,1.92429669835039e-06
"993","Rv0433",-0.667418966758328,2.18735107651137e-05
"1842","Rv0434",-0.500042952555164,0.000914328399991106
"819","Rv0435c",-0.767731000033285,1.06299653664668e-05
"2404","Rv0436c",-0.410325355795326,0.00947942056149739
"2695","Rv0437c",-0.279997312287995,0.0297561086435556
"817","Rv0438c",-1.037016009509,1.05510322955139e-05
"182","Rv0440",-1.60420463573297,1.28053898118381e-07
"1847","Rv0441c",0.456527744125096,0.000924661578742287
"1890","Rv0443",0.308510100315594,0.00109551102785339
