"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP"
"BSU_31450","BSU_31450",1.70267172297964,7.82365441469131,1.17654143696701,4.2934199504634,4.15554610416319,3.44640870840557,5.20971562512632,1.76330691672075,5.81125820423282,2.62754614479707,0.182592171674298,0,-0.391107242495248,1.56764867946226,1.05546891593955
"BSU_31460","BSU_31460",2.55562510329203,10.5931046393621,1.0801646456932,6.35263025827467,6.44480741397527,5.94354742334786,6.93400385698551,0.990456433637652,5.83439933225328,4.94384259811332,-0.177484801004401,0,-0.263234775153774,1.34339942084697,1.18334138328102
"BSU_31470","BSU_31470",0.648505828815349,7.32086919115817,1.32379205565168,3.64970393828063,3.5389311990205,2.73370969924408,4.24189697479202,1.50818727554794,5.78533567417767,3.47197538483517,0.750947832446358,0,-0.31213049495886,1.63592255061054,1.13444566347593
"BSU_31480","BSU_31480",1.79970536200527,8.55575015903251,1.33946461660493,4.469473528169,4.44833194763505,3.54899745761444,5.32680183165213,1.77780437403769,5.80471034670361,2.87622761655739,0.430087090180995,0,-0.207420308300164,1.5468849249051,1.23915585013463
"BSU_31490","BSU_31490",4.04358893941146,8.83002499875233,0.762670349874514,7.28790096405667,7.36371145486406,6.96115896533736,7.84067486846658,0.879515903129225,5.84359631571983,4.73123799840192,-1.11194858859736,0,-0.495176701464569,1.25784705133908,0.951399456970225
"BSU_31500","BSU_31500",3.78783046808634,10.0657094614704,0.930388544759624,7.45625132825456,7.60639458557107,7.00210266280408,8.02800379522162,1.02590113241754,5.84115100219819,4.91456036021768,-0.897026605510348,0,-0.317651818587899,1.24804036334752,1.12892433984689
"BSU_31510","BSU_31510",2.60146654362701,10.2484525246042,1.55221125967016,6.98137232301995,7.35121316488727,6.07413046505304,8.08785547153389,2.01372500648085,5.82220724117872,3.29036866647865,-0.837921560897956,0,0.267219050499353,1.28499220917081,1.71379520893415
"BSU_31520","BSU_31520",4.24816690239101,7.41204295777421,0.529352285573557,5.87746894071425,5.91022071652952,5.60373751611307,6.18418551864734,0.580448002534277,5.84523623158561,3.44554339271115,-0.204406193283269,0,-0.864553423798275,1.39390570937183,0.582022734636519
"BSU_31530","BSU_31530",4.27285753899709,10.1421807849579,0.734398175414591,6.74294945138087,6.76418964550285,6.26312708199154,7.08387012389344,0.820743041901895,5.84352203085454,6.05640096872746,0.810722610834447,0,-0.571092819359404,1.30549099477399,0.875483339075389
"BSU_31540","BSU_31540",0,9.53002156445984,2.94354952509574,4.00384023939955,3.20043490800748,1.17699971499644,6.85495621122569,5.67795649622925,5.54402318460002,1.52472234548304,0.213648405662424,0.031700288184438,1.34193177449101,1.60161775060473,2.78850793292581
"BSU_31550","BSU_31550",0,8.10152619010756,2.20573271041212,3.22322055299254,2.69426949238683,1.10020844825,5.31624595782451,4.2160375095745,5.60228990103195,1.69100918641491,0.343153369316217,0.00288184438040346,0.539442332332666,1.66629037807946,1.98601849076746
"BSU_31560","BSU_31560",0.344524323086724,8.25648842511311,2.02637718066494,3.4165908803798,2.94345319043407,1.49851545013692,5.27886068465611,3.78034523451919,5.66902320022425,1.82253387345905,0.368730008384035,0,0.373290478339789,1.65308670232515,1.81986663677458
"BSU_31570","BSU_31570",0.331354720064217,7.81925054501614,1.7211576409318,3.40576118270947,2.90695219569921,1.93047375617358,4.97457160483583,3.04409784866224,5.72147291851442,2.06608502808719,0.458256203155018,0,0.0673235997763775,1.65383404115542,1.51389975821117
"BSU_31580","BSU_31580",1.88227972536411,11.0274991357115,1.97236578596122,5.77500521777362,5.5524872302345,4.23312138770391,7.40067102208688,3.16754963438297,5.79008187547349,2.20978896307155,0.213763654148365,0,0.568083031830053,1.40428275413117,2.01465919026485
"BSU_31590","BSU_31590",0,7.48816953859229,1.67988193996912,2.25721869688155,1.96239716567,1.22149396512791,2.75957636753241,1.5380824024045,5.57035238332178,4.33291950074352,1.21985409333237,0.106628242074928,-0.0621150985804086,1.74199703854953,1.38446105985438
"BSU_31600","BSU_31600",3.45246001745637,9.59468789660469,1.29433923704835,6.66933412629117,6.75369271628332,5.57646224908673,7.62769164050402,2.05122939141728,5.83020414212863,2.24436960158362,-0.0526101607969997,0,-0.0175446043449234,1.31188384139327,1.42903155408987
"BSU_31610","BSU_31610",3.07771129035196,8.39175766496849,1.25930617760699,6.27577759435931,6.43030051679814,5.09109625960146,7.43285612664943,2.34175986704797,5.82860915667517,1.76311310647358,-0.276456456390768,0,-0.0927356418401735,1.35204181944717,1.35384051659462
"BSU_31620","BSU_31620",2.1339916455613,8.45551484432884,1.22932043903559,6.40656502289654,6.63650379361665,5.36277392550704,7.5276309332308,2.16485700772376,5.8301112396307,2.28465207878986,-0.453140138925361,0,-0.108031084449137,1.33735152348472,1.33854507398566
"BSU_31630","BSU_31630",3.52293802271471,9.2715893706825,1.27138210076358,6.51006168973786,6.67646898197054,5.35216350427847,7.5223632398883,2.17019973560982,5.82978849636294,2.12784604814977,-0.194022067172668,0,-0.0552629606715673,1.32664506143515,1.39131319776323
"BSU_31640","BSU_31640",3.36334707762456,8.69824183296764,1.1254815037501,6.66557935398031,6.742193144294,5.799461188338,7.63095484855817,1.83149366022017,5.8345275430049,2.41084364674083,-0.486347157178394,0,-0.186733551653913,1.31221505540401,1.25984260678088
"BSU_31650","BSU_31650",3.41406943917701,9.80677445211433,1.16893696994389,6.6057055057791,6.64379560862067,5.78630752775853,7.29033672811916,1.50402920036063,5.83350400000883,2.92162383304973,0.0444948326451762,0,-0.148651850482392,1.31758882042628,1.2979243079524
"BSU_31660","BSU_31660",3.36575634069052,10.7593207289768,1.31200522600473,6.92180514243163,7.16511592169285,5.8526427875108,7.73029554364292,1.87765275613212,5.8313624090759,2.72386057517133,0.208965038705717,0,0.0217939101699067,1.29021131583482,1.4683700686047
"BSU_31670","BSU_31670",4.65589316240962,10.1683315499092,0.886508058974044,6.93156192470963,6.92596299790477,6.30324813853152,7.5053965063763,1.20214836784478,5.84116743334083,3.2993684597794,0.196589728821573,0,-0.402857189438017,1.28936524841206,1.04371896899678
"BSU_31680","BSU_31680",4.74585841180914,10.1913959614426,0.988958585143365,7.29333344294741,7.40027918605685,6.75831217954816,7.84938800364135,1.09107582409319,5.83995952603061,3.51644389294793,-0.230645946272742,0,-0.268510662141724,1.25746924728509,1.17806549629307
"BSU_31690","BSU_31690",4.81495940402956,10.1118037609266,0.702851985893896,7.18101328916133,7.21671182465293,6.8439489315181,7.60266081761022,0.758711886092127,5.84447491752757,4.04806808971063,-0.272863809248376,0,-0.563458879906345,1.26631086580024,0.883117278528448
"BSU_31700","BSU_31700",0,11.5547737123089,1.34446552620528,6.55084945772349,6.6069693498243,5.62166176552688,7.52668963120566,1.90502786567878,5.82660092626073,4.32971058015461,-0.254095502951425,0.00288184438040346,0.0217656969598519,1.32269982924543,1.46834185539465
"BSU_31710","BSU_31710",1.50748670547736,9.97795404045821,1.2778493755975,6.26511069528806,6.39744181119658,5.40059787260249,7.04644906300888,1.64585119040639,5.82775742440646,3.32755901609689,-0.167105118660027,0,-0.0753726390090383,1.35322201460653,1.37120351942576
"BSU_31730","BSU_31730",0,10.067693965406,2.68888637749612,2.74153482475945,1.61057255787698,0.756596184305369,4.64517730644887,3.8885811221435,5.37442391095872,3.07899525042138,1.04116664120841,0.141210374639769,0.984512884441554,1.70437349305457,2.43108904287635
"BSU_31740","BSU_31740",2.15361559817863,8.73608222292533,1.06630922721044,6.56492210311526,6.74636033688398,6.11210346532512,7.2274658797299,1.11536241440478,5.8347283683595,5.65482704672058,-1.3602411617179,0,-0.255059595033713,1.32136882224415,1.19151656340108
"BSU_31750","BSU_31750",5.61643636298724,9.3802005709828,0.716169434412632,7.9185409785863,8.08666810949813,7.5263848017865,8.40229783652053,0.87591303473403,5.84513949577726,3.06586960397709,-0.721421799040601,0,-0.514229334612175,1.23039876902481,0.932346823822619
"BSU_31760","BSU_31760",4.2629545303569,11.6878259855055,1.1828707368916,7.72582956129414,7.66952568571676,7.22588131085241,8.13544084556755,0.909559534715135,5.83759944665853,4.45861101194143,0.278486797476033,0,-0.0545904714884051,1.23746120838001,1.39198568694639
"BSU_31770","BSU_31770",4.66477693542388,9.26324232080398,0.838292130533442,7.03635074848616,7.15108116046138,6.31557292879431,7.62233483071555,1.30676190192124,5.84218023145376,2.44450838921605,-0.0946345239368463,0,-0.441737852648306,1.28002998318175,1.00483830578649
"BSU_31780","BSU_31780",3.7983311011354,9.72766214880269,0.910175845097977,6.98576801572903,7.01287337681146,6.47142617065659,7.60178996631408,1.13036379565749,5.84068458275564,3.63863455714712,-0.221764047972882,0,-0.374425417366831,1.28460126246481,1.07215074106796
"BSU_31790","BSU_31790",3.94492502515992,11.5762153943392,1.03462104456787,7.30999505016523,7.55721899525998,6.54398941982689,8.07294130802224,1.52895188819536,5.83903390299456,3.38264092416146,-0.390634243136626,0,-0.221718209434209,1.25633925400208,1.22485794900058
"BSU_31800","BSU_31800",4.95319444381515,9.08300523029228,0.861535381043789,7.02209904662332,7.10927943285436,6.5112273839877,7.57774023603412,1.06651285204641,5.84170562346315,2.57300013573535,-0.208077294334803,0,-0.419797061925508,1.2813324429693,1.02677909650929
"BSU_31810","BSU_31810",0,6.34383652396382,1.19637887856308,3.70235038136219,3.73008410421942,2.7956537106216,4.51262432584211,1.71697061522051,5.79253231174242,2.68091980513323,-0.105982841457988,0.00576368876080692,-0.435225684263947,1.63160456282702,1.01135047417085
"BSU_31820","BSU_31820",3.82109839964419,10.4940979169626,1.11393969594988,6.28909173827265,6.11227709030692,5.50575192812807,6.98053011803387,1.47477818990579,5.83396747428905,3.2360149237342,0.562505818713113,0,-0.236622694562157,1.35056239051204,1.20995346387264
"BSU_31830","BSU_31830",3.85604500789151,8.75750392945176,0.970815074370422,6.32003159976779,6.30120277342644,5.67599724423513,6.92874510916836,1.25274786493323,5.83747243220136,2.67666227333812,0.0626404353027239,0,-0.37628116114557,1.34709623551599,1.07029499728922
"BSU_31840","BSU_31840",5.12146564196548,10.1462276226045,0.918824464823247,7.66075215982413,7.61890644238378,7.16687584245039,8.24299397599793,1.07611813354754,5.84200515173812,3.33738857834297,-0.29824235325164,0,-0.320910293246903,1.23973475807015,1.12566586518789
"BSU_31850","BSU_31850",3.8259028203243,9.73728359017234,1.15611918843497,6.61529274438234,6.55212235657523,5.84757963846731,7.19279163438061,1.3452119959133,5.83419897572125,3.02194809414207,0.368314058623195,0,-0.160596262540028,1.31671545097499,1.28597989589477
