"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","DE_index"
"Rv3606c",-0.884792725352028,5.24352092662383,-7.38238839452273,3.29427557015005e-05,9.73491022746776e-05,1.89669462221437,"Rv3606c",52
"Rv0778",-0.512695360064771,6.68824476916573,-7.37531088437166,3.32009988428788e-05,9.80376262409873e-05,1.62640042904074,"Rv0778",52
"Rv3670",-0.890561455260861,4.16942006204858,-7.37346734648847,3.32686273008086e-05,9.816267462693e-05,2.09309454834889,"Rv3670",52
"Rv1023",-0.513842176590114,6.95212445671499,-7.3694185337589,3.34176818645297e-05,9.84898040958058e-05,1.58545324352219,"Rv1023",52
"Rv3761c",-0.706447090362057,5.44554577335651,-7.36907873238808,3.34302245166809e-05,9.84898040958058e-05,1.8251554661442,"Rv3761c",52
"Rv2135c",-0.651131256126956,6.11194751267863,-7.36788341409017,3.34743865613438e-05,9.85322732038543e-05,1.70092489006245,"Rv2135c",52
"Rv1437",-0.523058819966804,8.49031246952522,-7.36715399771548,3.35013667076527e-05,9.85322732038543e-05,1.47950658679367,"Rv1437",52
"Rv1905c",-0.510310128715224,6.6132672702249,-7.36662993790542,3.35207656199566e-05,9.85322732038543e-05,1.62105446554306,"Rv1905c",52
"Rv1645c",0.970923850792953,4.16781362114675,7.36020970799617,3.37594171975191e-05,9.9158711783636e-05,2.03862389546783,"Rv1645c",52
"Rv0406c",0.733690815947804,4.51502503667373,7.35835047490473,3.3828873634572e-05,9.92876162683623e-05,1.97718409525956,"Rv0406c",52
"Rv2463",-0.599951348837146,7.98166620003411,-7.35273272334634,3.40396873142605e-05,9.98308956505086e-05,1.4808697156466,"Rv2463",52
"Rv1537",-0.897710635971532,4.25450859153979,-7.34594951189067,3.42961469532712e-05,0.000100472851426279,2.06348525148364,"Rv1537",52
"Rv1122",1.22567207071863,7.35393213573614,7.34557606364918,3.43103273219793e-05,0.000100472851426279,1.49492196648762,"Rv1122",52
"Rv2851c",-0.491186226982756,6.01549969444409,-7.33631520239383,3.46640278496818e-05,0.000101369824168601,1.67055056888333,"Rv2851c",52
"Rv2512a",-1.32447252151083,3.21805276139121,-7.33618977887112,3.46688453504771e-05,0.000101369824168601,2.33433723272838,"Rv2512a",52
